year,state-name,sector-name,fuel-name,value
1970,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.981782
1971,Alabama,Commercial carbon dioxide emissions,Natural Gas,2.003785
1972,Alabama,Commercial carbon dioxide emissions,Natural Gas,2.043815
1973,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.807134
1974,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.926217
1975,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.824206
1976,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.877332
1977,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.870811
1978,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.618595
1979,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.997529
1980,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.56303
1981,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.474486
1982,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.442727
1983,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.467275
1984,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.509638
1985,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.421466
1986,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.379846
1987,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.225769
1988,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.394426
1989,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.445537
1990,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.325076
1991,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.290303
1992,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.374441
1993,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.404977
1994,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.394267
1995,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.432159
1996,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.589631
1997,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.788063
1998,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.415768
1999,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.514781
2000,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.416931
2001,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.444636
2002,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.365944
2003,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.38414
2004,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.438844
2005,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.367439
2006,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.329052
2007,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.274336
2008,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.367545
2009,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.323552
2010,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.459642
2011,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.3568
2012,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.161729
2013,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.364417
2014,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.490103
2015,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.368041
2016,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.278941
2017,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.246454
2018,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.447565
2019,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.352909
2020,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.248835
2021,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.400739
1970,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.844237
1971,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.545894
1972,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.150365
1973,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.236045
1974,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.273636
1975,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.3283
1976,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.240552
1977,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.233871
1978,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.418805
1979,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.412124
1980,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.083029
1981,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.107047
1982,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.079901
1983,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.032395
1984,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.021208
1985,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.062829
1986,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.060973
1987,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.082393
1988,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.141775
1989,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.157257
1990,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.299881
1991,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.278798
1992,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.262426
1993,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.332435
1994,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.300305
1995,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.4782
1996,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.412356
1997,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.646442
1998,Alabama,Electric Power carbon dioxide emissions,Natural Gas,1.513893
1999,Alabama,Electric Power carbon dioxide emissions,Natural Gas,1.375869
2000,Alabama,Electric Power carbon dioxide emissions,Natural Gas,2.300696
2001,Alabama,Electric Power carbon dioxide emissions,Natural Gas,3.797398
2002,Alabama,Electric Power carbon dioxide emissions,Natural Gas,6.111757
2003,Alabama,Electric Power carbon dioxide emissions,Natural Gas,4.691475
2004,Alabama,Electric Power carbon dioxide emissions,Natural Gas,6.365208
2005,Alabama,Electric Power carbon dioxide emissions,Natural Gas,5.706596
2006,Alabama,Electric Power carbon dioxide emissions,Natural Gas,7.938579
2007,Alabama,Electric Power carbon dioxide emissions,Natural Gas,9.62313
2008,Alabama,Electric Power carbon dioxide emissions,Natural Gas,8.954707
2009,Alabama,Electric Power carbon dioxide emissions,Natural Gas,12.347188
2010,Alabama,Electric Power carbon dioxide emissions,Natural Gas,15.259449
2011,Alabama,Electric Power carbon dioxide emissions,Natural Gas,18.552616
2012,Alabama,Electric Power carbon dioxide emissions,Natural Gas,21.632317
2013,Alabama,Electric Power carbon dioxide emissions,Natural Gas,18.016408
2014,Alabama,Electric Power carbon dioxide emissions,Natural Gas,18.81507
2015,Alabama,Electric Power carbon dioxide emissions,Natural Gas,21.698867
2016,Alabama,Electric Power carbon dioxide emissions,Natural Gas,22.520665
2017,Alabama,Electric Power carbon dioxide emissions,Natural Gas,20.740032
2018,Alabama,Electric Power carbon dioxide emissions,Natural Gas,23.451934
2019,Alabama,Electric Power carbon dioxide emissions,Natural Gas,22.787226
2020,Alabama,Electric Power carbon dioxide emissions,Natural Gas,21.619714
2021,Alabama,Electric Power carbon dioxide emissions,Natural Gas,21.290137
1970,Alaska,Electric Power carbon dioxide emissions,All Fuels,1.013576
1971,Alaska,Electric Power carbon dioxide emissions,All Fuels,1.194723
1972,Alaska,Electric Power carbon dioxide emissions,All Fuels,1.313172
1973,Alaska,Electric Power carbon dioxide emissions,All Fuels,1.449668
1974,Alaska,Electric Power carbon dioxide emissions,All Fuels,1.561301
1975,Alaska,Electric Power carbon dioxide emissions,All Fuels,1.771464
1976,Alaska,Electric Power carbon dioxide emissions,All Fuels,1.95468
1977,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.062063
1978,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.133323
1979,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.304213
1980,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.342632
1981,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.373781
1982,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.55157
1983,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.570869
1984,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.609883
1985,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.716867
1986,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.682517
1987,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.365992
1988,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.366986
1989,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.558491
1990,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.59783
1991,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.455004
1992,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.284936
1993,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.309544
1994,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.327411
1995,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.402235
1996,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.526332
1997,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.733451
1998,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.919981
1999,Alaska,Electric Power carbon dioxide emissions,All Fuels,3.026531
2000,Alaska,Electric Power carbon dioxide emissions,All Fuels,3.178448
2001,Alaska,Electric Power carbon dioxide emissions,All Fuels,3.25888
2002,Alaska,Electric Power carbon dioxide emissions,All Fuels,3.279127
2003,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.987415
2004,Alaska,Electric Power carbon dioxide emissions,All Fuels,3.174977
2005,Alaska,Electric Power carbon dioxide emissions,All Fuels,3.239151
2006,Alaska,Electric Power carbon dioxide emissions,All Fuels,3.481807
2007,Alaska,Electric Power carbon dioxide emissions,All Fuels,3.273727
2008,Alaska,Electric Power carbon dioxide emissions,All Fuels,3.265645
2009,Alaska,Electric Power carbon dioxide emissions,All Fuels,3.151481
2010,Alaska,Electric Power carbon dioxide emissions,All Fuels,3.044914
2011,Alaska,Electric Power carbon dioxide emissions,All Fuels,3.171587
2012,Alaska,Electric Power carbon dioxide emissions,All Fuels,3.133951
2013,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.646773
2014,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.912277
2015,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.954859
2016,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.759481
2017,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.790627
2018,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.694954
2019,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.720353
2020,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.735818
2021,Alaska,Electric Power carbon dioxide emissions,All Fuels,2.797984
1970,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.009604
1971,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.195126
1972,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.617046
1973,Arizona,Electric Power carbon dioxide emissions,Petroleum,3.429186
1974,Arizona,Electric Power carbon dioxide emissions,Petroleum,3.899803
1975,Arizona,Electric Power carbon dioxide emissions,Petroleum,3.395368
1976,Arizona,Electric Power carbon dioxide emissions,Petroleum,2.923078
1977,Arizona,Electric Power carbon dioxide emissions,Petroleum,3.814649
1978,Arizona,Electric Power carbon dioxide emissions,Petroleum,2.606171
1979,Arizona,Electric Power carbon dioxide emissions,Petroleum,2.491906
1980,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.747742
1981,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.223318
1982,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.178381
1983,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.343763
1984,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.327864
1985,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.159601
1986,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.104518
1987,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.190445
1988,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.095269
1989,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.161608
1990,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.090962
1991,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.068802
1992,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.058434
1993,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.048184
1994,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.102801
1995,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.051634
1996,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.054077
1997,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.047632
1998,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.050217
1999,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.03825
2000,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.176611
2001,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.295054
2002,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.043523
2003,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.041528
2004,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.039565
2005,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.034135
2006,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.057102
2007,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.036383
2008,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.038016
2009,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.044432
2010,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.050317
2011,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.041222
2012,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.032399
2013,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.034492
2014,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.046286
2015,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.039442
2016,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.041646
2017,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.045574
2018,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.04048
2019,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.053158
2020,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.03366
2021,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.036551
1970,California,Electric Power carbon dioxide emissions,Petroleum,10.238345
1971,California,Electric Power carbon dioxide emissions,Petroleum,16.094612
1972,California,Electric Power carbon dioxide emissions,Petroleum,19.734548
1973,California,Electric Power carbon dioxide emissions,Petroleum,35.979484
1974,California,Electric Power carbon dioxide emissions,Petroleum,30.654207
1975,California,Electric Power carbon dioxide emissions,Petroleum,37.051644
1976,California,Electric Power carbon dioxide emissions,Petroleum,45.844292
1977,California,Electric Power carbon dioxide emissions,Petroleum,53.027339625
1978,California,Electric Power carbon dioxide emissions,Petroleum,47.113717
1979,California,Electric Power carbon dioxide emissions,Petroleum,47.213431
1980,California,Electric Power carbon dioxide emissions,Petroleum,30.26543
1981,California,Electric Power carbon dioxide emissions,Petroleum,21.685169
1982,California,Electric Power carbon dioxide emissions,Petroleum,7.607133
1983,California,Electric Power carbon dioxide emissions,Petroleum,5.271233
1984,California,Electric Power carbon dioxide emissions,Petroleum,2.225979
1985,California,Electric Power carbon dioxide emissions,Petroleum,2.312263
1986,California,Electric Power carbon dioxide emissions,Petroleum,2.66704
1987,California,Electric Power carbon dioxide emissions,Petroleum,1.720096
1988,California,Electric Power carbon dioxide emissions,Petroleum,5.9565
1989,California,Electric Power carbon dioxide emissions,Petroleum,7.260721
1990,California,Electric Power carbon dioxide emissions,Petroleum,4.001814
1991,California,Electric Power carbon dioxide emissions,Petroleum,1.275317
1992,California,Electric Power carbon dioxide emissions,Petroleum,1.201226
1993,California,Electric Power carbon dioxide emissions,Petroleum,2.503674
1994,California,Electric Power carbon dioxide emissions,Petroleum,2.597335
1995,California,Electric Power carbon dioxide emissions,Petroleum,1.999689
1996,California,Electric Power carbon dioxide emissions,Petroleum,2.309531
1997,California,Electric Power carbon dioxide emissions,Petroleum,1.825761
1998,California,Electric Power carbon dioxide emissions,Petroleum,2.230441
1999,California,Electric Power carbon dioxide emissions,Petroleum,1.987117
2000,California,Electric Power carbon dioxide emissions,Petroleum,2.47346
2001,California,Electric Power carbon dioxide emissions,Petroleum,2.796242
2002,California,Electric Power carbon dioxide emissions,Petroleum,2.177986
2003,California,Electric Power carbon dioxide emissions,Petroleum,2.349068
2004,California,Electric Power carbon dioxide emissions,Petroleum,2.130186
2005,California,Electric Power carbon dioxide emissions,Petroleum,2.362731
2006,California,Electric Power carbon dioxide emissions,Petroleum,2.172248
2007,California,Electric Power carbon dioxide emissions,Petroleum,2.157632
2008,California,Electric Power carbon dioxide emissions,Petroleum,1.863631
2009,California,Electric Power carbon dioxide emissions,Petroleum,1.772065
2010,California,Electric Power carbon dioxide emissions,Petroleum,1.296865
2011,California,Electric Power carbon dioxide emissions,Petroleum,1.106551
2012,California,Electric Power carbon dioxide emissions,Petroleum,0.237321
2013,California,Electric Power carbon dioxide emissions,Petroleum,0.054257
2014,California,Electric Power carbon dioxide emissions,Petroleum,0.053029
2015,California,Electric Power carbon dioxide emissions,Petroleum,0.028844
2016,California,Electric Power carbon dioxide emissions,Petroleum,0.027789
2017,California,Electric Power carbon dioxide emissions,Petroleum,0.028974
2018,California,Electric Power carbon dioxide emissions,Petroleum,0.028025
2019,California,Electric Power carbon dioxide emissions,Petroleum,0.029063
2020,California,Electric Power carbon dioxide emissions,Petroleum,0.026616
2021,California,Electric Power carbon dioxide emissions,Petroleum,0.028989
1970,Connecticut,Industrial carbon dioxide emissions,All Fuels,8.857399
1971,Connecticut,Industrial carbon dioxide emissions,All Fuels,7.551006
1972,Connecticut,Industrial carbon dioxide emissions,All Fuels,7.420293
1973,Connecticut,Industrial carbon dioxide emissions,All Fuels,8.056368
1974,Connecticut,Industrial carbon dioxide emissions,All Fuels,7.082383
1975,Connecticut,Industrial carbon dioxide emissions,All Fuels,6.409376
1976,Connecticut,Industrial carbon dioxide emissions,All Fuels,7.895961
1977,Connecticut,Industrial carbon dioxide emissions,All Fuels,8.046102
1978,Connecticut,Industrial carbon dioxide emissions,All Fuels,8.368325
1979,Connecticut,Industrial carbon dioxide emissions,All Fuels,6.098132
1980,Connecticut,Industrial carbon dioxide emissions,All Fuels,5.966688
1981,Connecticut,Industrial carbon dioxide emissions,All Fuels,3.220211
1982,Connecticut,Industrial carbon dioxide emissions,All Fuels,3.543662
1983,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.711444
1984,Connecticut,Industrial carbon dioxide emissions,All Fuels,3.153329
1985,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.843352
1986,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.841377
1987,Connecticut,Industrial carbon dioxide emissions,All Fuels,3.118015
1988,Connecticut,Industrial carbon dioxide emissions,All Fuels,3.101663
1989,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.904277
1990,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.813309
1991,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.936377
1992,Connecticut,Industrial carbon dioxide emissions,All Fuels,3.191573
1993,Connecticut,Industrial carbon dioxide emissions,All Fuels,3.257955
1994,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.854591
1995,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.629784
1996,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.705063
1997,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.572463
1998,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.389818
1999,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.466008
2000,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.562331
2001,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.420168
2002,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.320025
2003,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.792861
2004,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.57035
2005,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.613592
2006,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.526768
2007,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.239087
2008,Connecticut,Industrial carbon dioxide emissions,All Fuels,1.813424
2009,Connecticut,Industrial carbon dioxide emissions,All Fuels,1.959845
2010,Connecticut,Industrial carbon dioxide emissions,All Fuels,1.871623
2011,Connecticut,Industrial carbon dioxide emissions,All Fuels,1.965726
2012,Connecticut,Industrial carbon dioxide emissions,All Fuels,1.866589
2013,Connecticut,Industrial carbon dioxide emissions,All Fuels,2.082508
2014,Connecticut,Industrial carbon dioxide emissions,All Fuels,1.966374
2015,Connecticut,Industrial carbon dioxide emissions,All Fuels,1.783056
2016,Connecticut,Industrial carbon dioxide emissions,All Fuels,1.70487
2017,Connecticut,Industrial carbon dioxide emissions,All Fuels,1.711599
2018,Connecticut,Industrial carbon dioxide emissions,All Fuels,1.731763
2019,Connecticut,Industrial carbon dioxide emissions,All Fuels,1.709149
2020,Connecticut,Industrial carbon dioxide emissions,All Fuels,1.662948
2021,Connecticut,Industrial carbon dioxide emissions,All Fuels,1.604901
1970,Connecticut,Industrial carbon dioxide emissions,Petroleum,7.777142
1971,Connecticut,Industrial carbon dioxide emissions,Petroleum,6.655184
